subid,gender,age,list,agegroup,condition,trial,side,trial.type,name_location
092812_12,female,2.9,2,2,During,3,0,During B,B
091112_06,male,3.2,2,3,During,3,1,During B,B
091212_02,male,3.5,2,3,During,3,1,During B,B
091212_04,male,3.6,2,3,During,3,0,During B,B
091312_05,male,3.5,2,3,During,3,1,During B,B
091312_09,male,3.7,2,3,During,3,1,During B,B
091412_03,male,3.0,2,3,During,3,1,During B,B
091412_05,female,3.2,2,3,During,3,0,During B,B
091412_07,female,3.9,2,3,During,3,1,During B,B
091412_10,female,3.0,2,3,During,3,0,During B,B
091112_04,male,4.5,2,4,During,3,0,During B,B
091112_08,female,4.0,2,4,During,3,1,During B,B
091312_01,male,4.5,2,4,During,3,1,During B,B
091412_01,male,4.8,2,4,During,3,1,During B,B
091412_13,female,4.2,2,4,During,3,1,During B,B
092612_02,male,4.3,2,4,During,3,1,During B,B
092812_01,male,4.4,2,4,During,3,1,During B,B
111612_01,male,4.3,2,4,During,3,1,During B,B
091112_12,male,5.3,2,5,During,3,1,During B,B
091312_07,male,5.5,2,5,During,3,1,During B,B
092612_07,male,5.2,2,5,During,3,1,During B,B
100312_04,female,5.1,2,5,During,3,1,During B,B
100312_10,female,5.6,2,5,During,3,1,During B,B
100312_17,male,5.4,2,5,During,3,1,During B,B
110912_01,female,5.0,2,5,During,3,1,During B,B
111612_16,male,5.3,2,5,During,3,0,During B,B
012513_02,female,adult,2,adult,During,3,1,During B,B
012513_04,male,adult,2,adult,During,3,1,During B,B
012513_07,female,adult,2,adult,During,3,1,During B,B
012513_09,male,adult,2,adult,During,3,1,During B,B
012513_13,male,adult,2,adult,During,3,1,During B,B
012513_15,female,adult,2,adult,During,3,1,During B,B
011013_07,female,2.8,1,2,During,4,0,During B,B
091112_03,female,3.0,1,2,During,4,1,During B,B
091212_01,female,2.7,1,2,During,4,0,During B,B
091312_02,male,2.0,1,2,During,4,1,During B,B
091312_10,female,2.9,1,2,During,4,0,During B,B
091312_12,female,2.7,2,2,During,4,1,During B,B
091412_02,female,2.3,1,2,During,4,1,During B,B
092812_05,male,2.9,1,2,During,4,1,During B,B
092812_08,female,2.1,1,2,During,4,0,During B,B
091112_07,male,3.3,1,3,During,4,0,During B,B
091112_11,male,3.9,1,3,During,4,0,During B,B
091212_09,male,3.9,1,3,During,4,1,During B,B
091412_04,male,3.7,1,3,During,4,1,During B,B
102612_01,male,3.9,1,3,During,4,1,During B,B
111612_02,female,3.6,1,3,During,4,0,During B,B
111612_03,male,3.3,1,3,During,4,0,During B,B
091112_01,male,4.1,1,4,During,4,1,During B,B
091112_05,female,4.9,1,4,During,4,1,During B,B
091112_09,male,4.3,1,4,During,4,1,During B,B
091212_05,female,4.8,1,4,During,4,1,During B,B
091312_04,male,4.5,1,4,During,4,1,During B,B
091312_06,male,4.0,1,4,During,4,0,During B,B
091312_08,female,4.3,1,4,During,4,0,During B,B
091412_09,female,4.8,1,4,During,4,1,During B,B
091412_11,female,5.1,1,5,During,4,1,During B,B
092612_05,female,5.4,1,5,During,4,1,During B,B
100312_15,female,5.8,1,5,During,4,1,During B,B
101912_02,male,5.3,1,5,During,4,1,During B,B
101912_05,female,5.5,1,5,During,4,1,During B,B
102612_06,female,5.1,1,5,During,4,1,During B,B
110912_05,male,5.2,1,5,During,4,1,During B,B
111612_05,male,5.7,1,5,During,4,1,During B,B
012513_01,male,adult,1,adult,During,4,1,During B,B
012513_03,female,adult,1,adult,During,4,1,During B,B
012513_06,female,adult,1,adult,During,4,1,During B,B
012513_08,female,adult,1,adult,During,4,1,During B,B
012513_11,female,adult,1,adult,During,4,1,During B,B
012513_14,female,adult,1,adult,During,4,1,During B,B
